"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Actinomyces_graevenitzii"	"BMI"	"BMI"	"BMI"	-0.0272484212446125	-0.0678371329290489	0.119749528718626	0.758682867305877	1	0.941766041468287	0.999999999999999	NA	"abundance"	382	49
"Actinomyces_graevenitzii"	"Reads"	"Reads"	"Reads"	-0.2905790171231	-0.21119275545582	0.0784941627443242	0.363595997162806	1	0.594989945172796	0.999999999999999	NA	"abundance"	382	49
"Actinomyces_johnsonii"	"BMI"	"BMI"	"BMI"	-0.00781718256106134	-0.0678371329290489	0.0624908961732541	0.600333971727066	1	0.840267065844539	0.999999999999999	NA	"abundance"	382	4
"Actinomyces_johnsonii"	"Reads"	"Reads"	"Reads"	-0.337321688122165	-0.21119275545582	0.0514123376040615	0.294614809657571	1	0.502431733245575	0.999999999999999	NA	"abundance"	382	4
"Actinomyces_naeslundii"	"BMI"	"BMI"	"BMI"	-0.0448124556635718	-0.0678371329290489	0.0609653376547501	0.78369831018482	1	0.442760661874567	0.999999999999999	NA	"abundance"	382	14
"Actinomyces_naeslundii"	"Reads"	"Reads"	"Reads"	-0.289109045341246	-0.21119275545582	0.140822847875119	0.604720761858638	1	0.843754323894384	0.999999999999999	NA	"abundance"	382	14
"Actinomyces_oris"	"BMI"	"BMI"	"BMI"	0.0779892566772819	-0.0678371329290489	0.101274495998996	0.217487127307064	1	0.38767360406985	0.999999999999999	NA	"abundance"	382	33
"Actinomyces_pacaensis"	"BMI"	"BMI"	"BMI"	-0.0710036587508102	-0.0678371329290489	0.140974153211007	0.983372188637581	1	0.992747283620088	0.999999999999999	NA	"abundance"	382	40
"Actinomyces_pacaensis"	"Reads"	"Reads"	"Reads"	-0.219064018493667	-0.21119275545582	0.117904435451062	0.949438658330472	1	0.997306718711424	0.999999999999999	NA	"abundance"	382	40
"Actinomyces_sp_HMSC035G02"	"BMI"	"BMI"	"BMI"	-0.091802023368539	-0.0678371329290489	0.244156393892156	0.925022688648327	1	0.305871811959497	0.999999999999999	NA	"abundance"	382	21
"Actinomyces_sp_HMSC035G02"	"Reads"	"Reads"	"Reads"	-0.13605976481664	-0.21119275545582	0.168130285703254	0.669125607583191	1	0.890522136442808	0.999999999999999	NA	"abundance"	382	21
"Actinomyces_sp_ICM47"	"BMI"	"BMI"	"BMI"	-0.0323767040406533	-0.0678371329290489	0.0598134809022529	0.660737484564835	1	0.0118459990418382	0.887113602834062	NA	"abundance"	382	91
"Actinomyces_sp_ICM47"	"Reads"	"Reads"	"Reads"	-0.302725356647629	-0.21119275545582	0.101911765942257	0.399675477919324	1	0.639610468188608	0.999999999999999	NA	"abundance"	382	91
