"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"TM7_phylum_sp_oral_taxon_350"	"ACVD"	"1"	"ACVD1"	0.360404539600477	-0.0189389603225172	0.233735659037684	0.122720906062793	0.879744782186296	0.000749130393933921	0.0569651237053919	NA	"abundance"	382	32
"Phocaeicola_dorei"	"ACVD"	"1"	"ACVD1"	0.38565034764001	0	0.248102886935471	0.120089782513384	0.879744782186296	0.0000502364514253998	0.00797230642185693	NA	"prevalence"	382	253
"Actinomyces_graevenitzii"	"ACVD"	"1"	"ACVD1"	0.362216007844836	-0.0189389603225172	0.246365400369891	0.135876000317298	0.887708702542875	0.00000383627821340246	0.000933494365261265	NA	"abundance"	382	49
"Ligilactobacillus_salivarius"	"ACVD"	"1"	"ACVD1"	0.878188952737873	-0.0189389603225172	0.60788373687106	0.144223668958599	0.899999358607525	0.000000153734139350902	0.0000701412010788489	NA	"abundance"	382	116
"Candidatus_Saccharibacteria_unclassified_SGB135773"	"ACVD"	"1"	"ACVD1"	0.76606866404274	-0.0189389603225172	0.54843184475499	0.16674413663726	0.916537112319646	0.000086578645536185	0.0128984512737582	NA	"abundance"	382	32
"Lancefieldella_parvula"	"ACVD"	"1"	"ACVD1"	0.559698840364323	-0.0189389603225172	0.426531839441769	0.182792387597249	0.917049458495119	0.0000000348667720476337	0.0000266183592344717	NA	"abundance"	382	71
"Coprococcus_phoceensis"	"ACVD"	"1"	"ACVD1"	0.456634363872331	-0.0189389603225172	0.382186685432722	0.217230059309351	0.929016782327121	0.0000062390707291883	0.00136135707916996	NA	"abundance"	382	220
"Alistipes_putredinis"	"ACVD"	"1"	"ACVD1"	0.296111064055174	0	0.244208557589258	0.225308216136366	0.935548172887699	0.00072428381315795	0.0562475727239684	NA	"prevalence"	382	253
"Solobacterium_SGB6834"	"ACVD"	"1"	"ACVD1"	0.595807856548797	-0.0189389603225172	0.506627361775731	0.237018784992229	0.944349254789	0.000102135443230424	0.014619386972198	NA	"abundance"	382	43
"Phocaeicola_coprocola"	"ACVD"	"1"	"ACVD1"	0.283484281769846	0	0.23921591496356	0.235995262562461	0.944349254789	0.000111060217634088	0.0155911459370931	NA	"prevalence"	382	148
"Candidatus_Saccharibacteria_unclassified_SGB19870"	"ACVD"	"1"	"ACVD1"	0.193577479648738	-0.0189389603225172	0.177488640620258	0.245647715757136	0.945744500643047	0.00000130545628545011	0.000397076286824409	NA	"abundance"	382	130
"Akkermansia_muciniphila"	"ACVD"	"1"	"ACVD1"	-0.739690383751423	-0.0189389603225172	0.642140280902626	0.265073910225975	0.950994377046561	0.0000000341072882053154	0.0000266183592344717	NA	"abundance"	382	124
"Schaalia_SGB17157"	"ACVD"	"1"	"ACVD1"	-2.08890334122407	-0.0189389603225172	1.81717275083666	0.271437015459062	0.95165959648841	0.00143405812835351	0.0934698601516128	NA	"abundance"	382	26
"Parabacteroides_merdae"	"ACVD"	"1"	"ACVD1"	0.244252509678006	0	0.234093646322528	0.296764657423147	0.95192345455074	0.00132239881670756	0.0877591941996834	NA	"prevalence"	382	223
"Oribacterium_sinus"	"ACVD"	"1"	"ACVD1"	-0.625610811719664	-0.0189389603225172	0.577481936447809	0.303914809290905	0.953947699963202	0.000117137476740333	0.0161340298151779	NA	"abundance"	382	38
"Granulicatella_adiacens"	"ACVD"	"1"	"ACVD1"	0.234648406067679	-0.0189389603225172	0.255369711085318	0.330570623792825	0.96591165734554	0.000000138018822537396	0.0000671691603015328	NA	"abundance"	382	74
"Eubacterium_brachy"	"ACVD"	"1"	"ACVD1"	0.555928123984684	-0.0189389603225172	0.682522901247167	0.412498802080501	0.983009161198583	0.00109292847960129	0.0752677160480133	NA	"abundance"	382	25
"Streptococcus_constellatus"	"ACVD"	"1"	"ACVD1"	0.423843199388649	-0.0189389603225172	0.536455709456765	0.415484705663925	0.983009161198583	0.00000571410821031456	0.00130353093547801	NA	"abundance"	382	53
"Phascolarctobacterium_succinatutens"	"ACVD"	"1"	"ACVD1"	0.269341154750984	0	0.351435111979873	0.443436157970231	0.985143655960457	0.00046311860654875	0.039832807411188	NA	"prevalence"	382	41
"Candidatus_Saccharibacteria_unclassified_SGB208456"	"ACVD"	"1"	"ACVD1"	0.324368972866645	-0.0189389603225172	0.446501406109003	0.447708567807102	0.985480712894444	0.00000198565723446305	0.000536862881910379	NA	"abundance"	382	50
"Schaalia_dentiphila"	"ACVD"	"1"	"ACVD1"	0.469372734074976	-0.0189389603225172	0.630968135087078	0.450265016433293	0.985788321631205	0.000662984753327861	0.0526063989053629	NA	"abundance"	382	30
"Schaalia_odontolytica"	"ACVD"	"1"	"ACVD1"	0.174657589457631	-0.0189389603225172	0.303828236707625	0.531283415780366	0.990208041039751	0.000534582415375125	0.0448557658877979	NA	"abundance"	382	56
"Solobacterium_SGB6829"	"ACVD"	"1"	"ACVD1"	0.164290643590934	-0.0189389603225172	0.255346505850223	0.482894755398283	0.990208041039751	0.000187509927159411	0.0220777817461887	NA	"abundance"	382	51
"Slackia_piriformis"	"ACVD"	"1"	"ACVD1"	-0.216556040683433	0	0.349915562271536	0.535994854785522	0.990208041039751	0.000280521348628259	0.0274013490558918	NA	"prevalence"	382	43
"Actinomyces_pacaensis"	"ACVD"	"1"	"ACVD1"	0.19145079664218	-0.0189389603225172	0.428263356351259	0.628194984808152	0.99226875059997	0.0000242927410641069	0.0041241165062321	NA	"abundance"	382	40
"Enterococcus_faecium"	"ACVD"	"1"	"ACVD1"	0.357890421374572	-0.0189389603225172	0.658952359551394	0.57295357245799	0.99226875059997	0.00056234558748498	0.0466141540612575	NA	"abundance"	382	33
